,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,ict,ict_pred
44915,Lynden Gooch,0,0,337,4,1,12,14.8,13.847823409125631
44916,Alireza Jahanbakhsh,0,0,33,4,0,3,2.1,2.6593493950025984
44917,Benik Afobe,6,5,1635,5,5,100,140.9,144.12824418108295
44918,Ilkay Gündogan,3,1,872,3,3,52,72.4,66.2877705284905
44919,Petr Cech,0,0,2467,1,8,101,60.6,62.33557277187852
44920,Gareth Barry,2,0,923,3,3,32,52.3,51.74054453899218
44921,Maya Yoshida,3,3,5637,2,16,198,233.9,216.44555271812027
44922,Héctor Bellerín,3,13,6498,2,24,290,343.0,336.45070603638135
44923,Jairo Riedewald,0,0,435,2,2,23,10.6,13.792458848040834
44924,Ramadan Sobhi,0,1,200,4,1,20,3.7,15.465790339564613
44925,David Ospina,0,0,143,1,0,2,2.9,2.962258725614987
44926,Eden Hazard,38,24,6895,4,36,536,900.0,856.917179449844
44927,Yerry Mina,0,0,541,2,2,27,14.3,17.125475859870082
44928,Danny Ings,4,1,820,5,3,44,90.4,68.18450295620399
44929,Moussa Sissoko,1,5,3597,3,18,144,197.5,194.30581067930262
44930,Tom Cleverley,0,0,250,3,0,10,10.8,8.19081270899678
44931,Ethan Ampadu,0,0,10,2,0,1,0.7,-0.6274199288613609
44932,Gary Madine,0,0,2,5,0,1,0.2,1.343849211786047
44933,Kasper Schmeichel,0,0,5456,1,16,231,144.0,135.20366360738467
44934,Sebastian Prödl,1,2,2410,2,5,67,88.7,96.00722223529168
44935,Bruno Saltor Grau,0,0,1635,2,8,65,44.7,54.298957333893725
44936,Josh Murphy,3,1,1641,4,6,69,94.1,95.97879012485181
44937,Gaël Clichy,0,0,259,2,1,10,9.8,7.817988902548985
44938,Oliver Burke,0,1,55,4,0,7,5.9,8.630212594066759
44939,Marko Arnautovic,5,3,1921,5,8,82,142.4,136.8224208486971
44940,Martin Dubravka,0,0,180,1,1,12,4.8,0.1354903233482112
44941,Daryl Janmaat,2,1,1631,2,2,51,79.0,74.80269766880113
44942,Juan Foyth,1,0,888,2,3,35,36.3,36.591191218521544
44943,Andy King,1,1,1769,3,1,55,65.3,73.19207975296906
44944,Michy Batshuayi,1,1,127,5,0,25,16.8,19.977419402638375
